,Product Name,Prices,Descriptio,Rating,Reviews,Delivery,Discount
816,"SAMSUNG Galaxy S21 FE 5G (White, 128 GB)","₹29,999",8 GB RAM | 128 GB ROM16.26 cm (6.4 inch) Full HD+ Display12MP + 12MP + 8MP (OIS) | 32MP Front Camera4500 mAh Lithium-ion Battery1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.2,&, Off on Exchange,60% off
817,"SAMSUNG Galaxy S21 FE 5G (Olive Green, 128 GB)","₹29,999",8 GB RAM | 128 GB ROM16.26 cm (6.4 inch) Full HD+ Display12MP + 12MP + 8MP (OIS) | 32MP Front Camera4500 mAh Lithium-ion Battery1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.1,&,Bank Offer,16% off
818,"SAMSUNG Galaxy S21 FE 5G (Graphite, 128 GB)","₹29,999",8 GB RAM | 128 GB ROM16.26 cm (6.4 inch) Full HD+ Display12MP + 12MP + 8MP (OIS) | 32MP Front Camera4500 mAh Lithium-ion Battery1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.1,&,Free delivery,16% off
819,"Google Pixel 7 (Obsidian, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM16.0 cm (6.3 inch) Full HD+ Display50MP + 12MP | 10.8MP Front Camera4270 mAh BatteryGoogle Tensor G2 Processor1 Year Domestic Warranty,4.4,&,Upto ,16% off
820,"Google Pixel 7 (Snow, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM16.0 cm (6.3 inch) Full HD+ Display50MP + 12MP | 10.8MP Front Camera4270 mAh BatteryGoogle Tensor G2 Processor1 Year Domestic Warranty,4.2,&,"₹28,000",33% off
821,"Google Pixel 7 (Lemongrass, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM16.0 cm (6.3 inch) Full HD+ Display50MP + 12MP | 10.8MP Front Camera4270 mAh BatteryGoogle Tensor G2 Processor1 Year Domestic Warranty,4.2,&, Off on Exchange,13% off
822,"MOTOROLA Edge 30 Ultra (Interstellar Black, 256 GB)","₹49,899",12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display200MP + 50MP + 12MP | 60MP Front Camera4610 mAh Lithium BatteryQualcomm Snapdragon 8+ Gen 1 Processor1 Year on Handset and 6 Months on Accessories,4.2,&,Bank Offer,33% off
823,"SAMSUNG Galaxy A73 5G (Awesome Gray, 256 GB)","₹42,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Full HD+ Display108MP + 12MP + 5MP + 5MP | 32MP Front Camera5000 mAh Li-ion BatteryQualcomm Snapdragon 778G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box,4.1,&,Free delivery,44% off
824,"MOTOROLA Edge 30 Ultra (Starlight White, 256 GB)","₹49,899",12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display200MP + 50MP + 12MP | 60MP Front Camera4610 mAh Lithium BatteryQualcomm Snapdragon 8+ Gen 1 Processor1 Year on Handset and 6 Months on Accessories,4.1,&,"No Cost EMI from ₹7,667/month",43% off
825,"Xiaomi 12 Pro 5G (Opera Mauve, 256 GB)","₹44,490",8 GB RAM | 256 GB ROM17.09 cm (6.73 inch) Full HD+ AMOLED Display50MP Rear Camera4600 mAh BatterySnapdragon@ 8 Gen 1 Processor12 Months,4.6,&,Bank Offer,6% off
826,"Xiaomi 12 Pro 5G (Noir Black, 256 GB)","₹47,990",12 GB RAM | 256 GB ROM17.09 cm (6.73 inch) Full HD+ AMOLED Display50MP Rear Camera4600 mAh BatterySnapdragon@ 8 Gen 1 Processor12 Months,4.2,&,Free delivery,13% off
827,"vivo V27 Pro 5G (Magic Blue, 256 GB)","₹42,999",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP (OIS) + 8MP + 2MP | 50MP Front Camera4600 mAh BatteryMediatek Dimensity 8200 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.4,&,Bank Offer,13% off
828,"realme GT 2 Pro (Steel Black, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Quad HD Display50MP + 50MP + 2MP | 32MP Front Camera5000 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 1 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4,&,Free delivery,13% off
829,"realme GT 2 Pro (Paper Green, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Quad HD Display50MP + 50MP + 2MP | 32MP Front Camera5000 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 1 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.2,&,Upto ,16% off
830,"realme GT 2 Pro (Paper White, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Quad HD Display50MP + 50MP + 2MP | 32MP Front Camera5000 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 1 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.2,&,"₹28,000",45% off
831,"IQOO 9T 5G (ALPHA, 128 GB)","₹45,799",8 GB RAM | 128 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera4700 mAh Battery1 Year,4.4,&, Off on Exchange,3% off
832,"Xiaomi 12 Pro 5G (Noir Black, 256 GB)","₹43,999",8 GB RAM | 256 GB ROM17.09 cm (6.73 inch) Full HD+ AMOLED Display50MP Rear Camera4600 mAh BatterySnapdragon@ 8 Gen 1 Processor12 Months,4.3,&,"No Cost EMI from ₹5,000/month",25% off
833,"APPLE iPhone 11 (Red, 128 GB)","₹46,999",128 GB ROM15.49 cm (6.1 inch) Liquid Retina HD Display12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty of 1 Year,4.3,&,Free delivery,24% off
834,"OnePlus 10 Pro 5G (Volcanic Black, 128 GB)","₹49,670",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display48MP Rear Camera5000 mAh Battery1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,4.3,&,Upto ,14% off
835,"realme X50 Pro 5G (Rust Red, 256 GB)","₹47,999",12 GB RAM | 256 GB ROM16.36 cm (6.44 inch) Full HD+ Display64MP + 12MP + 8MP + 2MP | 32MP + 8MP Dual Front Camera4200 mAh Battery5G PhoneQualcomm Snapdragon 865 Processor65W Superdart ChargeBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.4,&,"₹28,000",60% off
836,"SAMSUNG Galaxy S20 FE (Cloud Navy, 128 GB)","₹50,010",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display12MP + 12MP + 8MP Rear Camera | 32MP Front Camera4500 mAh Lithium Ion BatteryExynos Octa Core ProcessorSuper AMOLED Display | 120 Hz RateIP68 Rating1 Year Warranty Provided by the Manufacturer from Date of Purchase,4.4,&, Off on Exchange,60% off
837,"Mi 10T Pro (Cosmic Black, 128 GB)","₹47,999",8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display108MP + 13MP + 5MP | 20MP Front Camera5000 mAh Li-ion Polymer BatteryQualcomm Snapdragon 865 Processor144Hz Intelligent AdaptiveSync Display33W Dual Split Flash Charge1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories,4.4,&,"No Cost EMI from ₹5,000/month",60% off
838,"OnePlus 10T 5G (Moonstone Black, 256 GB)","₹47,170",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera4800 mAh Battery1 year on phone & 6 months on accessories,4.2,&,Free delivery,16% off
839,"realme X50 Pro (Moss Green, 256 GB)","₹47,999",12 GB RAM | 256 GB ROM16.36 cm (6.44 inch) Full HD+ Display64MP + 12MP + 8MP + 2MP | 32MP + 8MP Dual Front Camera4200 mAh Battery5G PhoneQualcomm Snapdragon 865 Processor65W Superdart ChargeBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.2,&,Upto ,16% off
840,"SAMSUNG Galaxy S21 FE 5G (White, 128 GB)","₹29,999",8 GB RAM | 128 GB ROM16.26 cm (6.4 inch) Full HD+ Display12MP + 12MP + 8MP (OIS) | 32MP Front Camera4500 mAh Lithium-ion Battery1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.2,&,"₹28,000",16% off
841,"SAMSUNG Galaxy S21 FE 5G (Olive Green, 128 GB)","₹29,999",8 GB RAM | 128 GB ROM16.26 cm (6.4 inch) Full HD+ Display12MP + 12MP + 8MP (OIS) | 32MP Front Camera4500 mAh Lithium-ion Battery1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.1,&, Off on Exchange,33% off
842,"SAMSUNG Galaxy S21 FE 5G (Graphite, 128 GB)","₹29,999",8 GB RAM | 128 GB ROM16.26 cm (6.4 inch) Full HD+ Display12MP + 12MP + 8MP (OIS) | 32MP Front Camera4500 mAh Lithium-ion Battery1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.1,&,"No Cost EMI from ₹5,000/month",13% off
843,"Google Pixel 7 (Obsidian, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM16.0 cm (6.3 inch) Full HD+ Display50MP + 12MP | 10.8MP Front Camera4270 mAh BatteryGoogle Tensor G2 Processor1 Year Domestic Warranty,4.4,&,Free delivery,33% off
844,"Google Pixel 7 (Snow, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM16.0 cm (6.3 inch) Full HD+ Display50MP + 12MP | 10.8MP Front Camera4270 mAh BatteryGoogle Tensor G2 Processor1 Year Domestic Warranty,4.2,&,Top Discount on Sale,44% off
845,"Google Pixel 7 (Lemongrass, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM16.0 cm (6.3 inch) Full HD+ Display50MP + 12MP | 10.8MP Front Camera4270 mAh BatteryGoogle Tensor G2 Processor1 Year Domestic Warranty,4.2,&,Upto ,43% off
846,"MOTOROLA Edge 30 Ultra (Interstellar Black, 256 GB)","₹49,899",12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display200MP + 50MP + 12MP | 60MP Front Camera4610 mAh Lithium BatteryQualcomm Snapdragon 8+ Gen 1 Processor1 Year on Handset and 6 Months on Accessories,4.2,&,"₹31,000",6% off
847,"SAMSUNG Galaxy A73 5G (Awesome Gray, 256 GB)","₹42,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Full HD+ Display108MP + 12MP + 5MP + 5MP | 32MP Front Camera5000 mAh Li-ion BatteryQualcomm Snapdragon 778G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box,4.1,&, Off on Exchange,13% off
848,"MOTOROLA Edge 30 Ultra (Starlight White, 256 GB)","₹49,899",12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display200MP + 50MP + 12MP | 60MP Front Camera4610 mAh Lithium BatteryQualcomm Snapdragon 8+ Gen 1 Processor1 Year on Handset and 6 Months on Accessories,4.1,&,Free delivery,13% off
849,"Xiaomi 12 Pro 5G (Opera Mauve, 256 GB)","₹44,490",8 GB RAM | 256 GB ROM17.09 cm (6.73 inch) Full HD+ AMOLED Display50MP Rear Camera4600 mAh BatterySnapdragon@ 8 Gen 1 Processor12 Months,4.6,&,Top Discount on Sale,13% off
850,"Xiaomi 12 Pro 5G (Noir Black, 256 GB)","₹47,990",12 GB RAM | 256 GB ROM17.09 cm (6.73 inch) Full HD+ AMOLED Display50MP Rear Camera4600 mAh BatterySnapdragon@ 8 Gen 1 Processor12 Months,4.2,&,Upto ,16% off
851,"vivo V27 Pro 5G (Magic Blue, 256 GB)","₹42,999",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP (OIS) + 8MP + 2MP | 50MP Front Camera4600 mAh BatteryMediatek Dimensity 8200 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.4,&,"₹31,000",45% off
852,"realme GT 2 Pro (Steel Black, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Quad HD Display50MP + 50MP + 2MP | 32MP Front Camera5000 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 1 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4,&, Off on Exchange,3% off
853,"realme GT 2 Pro (Paper Green, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Quad HD Display50MP + 50MP + 2MP | 32MP Front Camera5000 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 1 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.2,&,Free delivery,25% off
854,"realme GT 2 Pro (Paper White, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Quad HD Display50MP + 50MP + 2MP | 32MP Front Camera5000 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 1 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.2,&,Top Discount on Sale,24% off
855,"IQOO 9T 5G (ALPHA, 128 GB)","₹45,799",8 GB RAM | 128 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera4700 mAh Battery1 Year,4.4,&,Upto ,14% off
856,"Xiaomi 12 Pro 5G (Noir Black, 256 GB)","₹43,999",8 GB RAM | 256 GB ROM17.09 cm (6.73 inch) Full HD+ AMOLED Display50MP Rear Camera4600 mAh BatterySnapdragon@ 8 Gen 1 Processor12 Months,4.3,&,"₹31,000",60% off
857,"APPLE iPhone 11 (Red, 128 GB)","₹46,999",128 GB ROM15.49 cm (6.1 inch) Liquid Retina HD Display12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty of 1 Year,4.3,&, Off on Exchange,60% off
858,"OnePlus 10 Pro 5G (Volcanic Black, 128 GB)","₹49,670",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display48MP Rear Camera5000 mAh Battery1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,4.3,&,Free delivery,60% off
859,"realme X50 Pro 5G (Rust Red, 256 GB)","₹47,999",12 GB RAM | 256 GB ROM16.36 cm (6.44 inch) Full HD+ Display64MP + 12MP + 8MP + 2MP | 32MP + 8MP Dual Front Camera4200 mAh Battery5G PhoneQualcomm Snapdragon 865 Processor65W Superdart ChargeBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.4,&,Bank Offer,16% off
860,"SAMSUNG Galaxy S20 FE (Cloud Navy, 128 GB)","₹50,010",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display12MP + 12MP + 8MP Rear Camera | 32MP Front Camera4500 mAh Lithium Ion BatteryExynos Octa Core ProcessorSuper AMOLED Display | 120 Hz RateIP68 Rating1 Year Warranty Provided by the Manufacturer from Date of Purchase,4.4,&,Free delivery,16% off
861,"Mi 10T Pro (Cosmic Black, 128 GB)","₹47,999",8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display108MP + 13MP + 5MP | 20MP Front Camera5000 mAh Li-ion Polymer BatteryQualcomm Snapdragon 865 Processor144Hz Intelligent AdaptiveSync Display33W Dual Split Flash Charge1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories,4.4,&,Upto ,16% off
862,"OnePlus 10T 5G (Moonstone Black, 256 GB)","₹47,170",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera4800 mAh Battery1 year on phone & 6 months on accessories,4.2,&,"₹28,000",33% off
863,"realme X50 Pro (Moss Green, 256 GB)","₹47,999",12 GB RAM | 256 GB ROM16.36 cm (6.44 inch) Full HD+ Display64MP + 12MP + 8MP + 2MP | 32MP + 8MP Dual Front Camera4200 mAh Battery5G PhoneQualcomm Snapdragon 865 Processor65W Superdart ChargeBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.2,&, Off on Exchange,13% off
864,"SAMSUNG Galaxy S21 FE 5G (White, 128 GB)","₹29,999",8 GB RAM | 128 GB ROM16.26 cm (6.4 inch) Full HD+ Display12MP + 12MP + 8MP (OIS) | 32MP Front Camera4500 mAh Lithium-ion Battery1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.2,&,"No Cost EMI from ₹5,545/month",33% off
865,"SAMSUNG Galaxy S21 FE 5G (Olive Green, 128 GB)","₹29,999",8 GB RAM | 128 GB ROM16.26 cm (6.4 inch) Full HD+ Display12MP + 12MP + 8MP (OIS) | 32MP Front Camera4500 mAh Lithium-ion Battery1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.1,&,Free delivery,44% off
866,"SAMSUNG Galaxy S21 FE 5G (Graphite, 128 GB)","₹29,999",8 GB RAM | 128 GB ROM16.26 cm (6.4 inch) Full HD+ Display12MP + 12MP + 8MP (OIS) | 32MP Front Camera4500 mAh Lithium-ion Battery1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.1,&,Top Discount on Sale,43% off
867,"Google Pixel 7 (Snow, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM16.0 cm (6.3 inch) Full HD+ Display50MP + 12MP | 10.8MP Front Camera4270 mAh BatteryGoogle Tensor G2 Processor1 Year Domestic Warranty,4.4,&,Bank Offer,6% off
868,"Google Pixel 7 (Obsidian, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM16.0 cm (6.3 inch) Full HD+ Display50MP + 12MP | 10.8MP Front Camera4270 mAh BatteryGoogle Tensor G2 Processor1 Year Domestic Warranty,4.2,&,Free delivery,13% off
869,"Google Pixel 7 (Lemongrass, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM16.0 cm (6.3 inch) Full HD+ Display50MP + 12MP | 10.8MP Front Camera4270 mAh BatteryGoogle Tensor G2 Processor1 Year Domestic Warranty,4.2,&,Bank Offer,13% off
870,"MOTOROLA Edge 30 Ultra (Interstellar Black, 256 GB)","₹49,899",12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display200MP + 50MP + 12MP | 60MP Front Camera4610 mAh Lithium BatteryQualcomm Snapdragon 8+ Gen 1 Processor1 Year on Handset and 6 Months on Accessories,4.2,&,Free delivery,13% off
871,"SAMSUNG Galaxy A73 5G (Awesome Gray, 256 GB)","₹42,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Full HD+ Display108MP + 12MP + 5MP + 5MP | 32MP Front Camera5000 mAh Li-ion BatteryQualcomm Snapdragon 778G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box,4.1,&,Saver Deal,16% off
872,"MOTOROLA Edge 30 Ultra (Starlight White, 256 GB)","₹49,899",12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display200MP + 50MP + 12MP | 60MP Front Camera4610 mAh Lithium BatteryQualcomm Snapdragon 8+ Gen 1 Processor1 Year on Handset and 6 Months on Accessories,4.1,&,Upto ,45% off
873,"Xiaomi 12 Pro 5G (Opera Mauve, 256 GB)","₹44,490",8 GB RAM | 256 GB ROM17.09 cm (6.73 inch) Full HD+ AMOLED Display50MP Rear Camera4600 mAh BatterySnapdragon@ 8 Gen 1 Processor12 Months,4.6,&,"₹28,000",3% off
874,"Xiaomi 12 Pro 5G (Noir Black, 256 GB)","₹47,990",12 GB RAM | 256 GB ROM17.09 cm (6.73 inch) Full HD+ AMOLED Display50MP Rear Camera4600 mAh BatterySnapdragon@ 8 Gen 1 Processor12 Months,4.2,&, Off on Exchange,25% off
875,"realme GT 2 Pro (Paper Green, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Quad HD Display50MP + 50MP + 2MP | 32MP Front Camera5000 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 1 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.4,&,Free delivery,24% off
876,"realme GT 2 Pro (Paper White, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Quad HD Display50MP + 50MP + 2MP | 32MP Front Camera5000 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 1 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4,&,Saver Deal,14% off
877,"vivo V27 Pro 5G (Magic Blue, 256 GB)","₹42,999",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP (OIS) + 8MP + 2MP | 50MP Front Camera4600 mAh BatteryMediatek Dimensity 8200 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2,&,Upto ,60% off
878,"realme GT 2 Pro (Steel Black, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Quad HD Display50MP + 50MP + 2MP | 32MP Front Camera5000 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 1 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.2,&,"₹28,000",60% off
879,"IQOO 9T 5G (ALPHA, 128 GB)","₹45,799",8 GB RAM | 128 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera4700 mAh Battery1 Year,4.4,&, Off on Exchange,60% off
880,"Xiaomi 12 Pro 5G (Noir Black, 256 GB)","₹43,999",8 GB RAM | 256 GB ROM17.09 cm (6.73 inch) Full HD+ AMOLED Display50MP Rear Camera4600 mAh BatterySnapdragon@ 8 Gen 1 Processor12 Months,4.3,&,Free delivery,16% off
881,"APPLE iPhone 11 (Red, 128 GB)","₹46,999",128 GB ROM15.49 cm (6.1 inch) Liquid Retina HD Display12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty of 1 Year,4.3,&,Saver Deal,16% off
882,"realme X50 Pro 5G (Rust Red, 256 GB)","₹47,999",12 GB RAM | 256 GB ROM16.36 cm (6.44 inch) Full HD+ Display64MP + 12MP + 8MP + 2MP | 32MP + 8MP Dual Front Camera4200 mAh Battery5G PhoneQualcomm Snapdragon 865 Processor65W Superdart ChargeBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.3,&,Upto ,16% off
883,"OnePlus 10 Pro 5G (Volcanic Black, 128 GB)","₹49,670",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display48MP Rear Camera5000 mAh Battery1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,4.4,&,"₹28,000",33% off
884,"Mi 10T Pro (Cosmic Black, 128 GB)","₹47,999",8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display108MP + 13MP + 5MP | 20MP Front Camera5000 mAh Li-ion Polymer BatteryQualcomm Snapdragon 865 Processor144Hz Intelligent AdaptiveSync Display33W Dual Split Flash Charge1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories,4.4,&, Off on Exchange,13% off
885,"SAMSUNG Galaxy S20 FE (Cloud Navy, 128 GB)","₹50,010",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display12MP + 12MP + 8MP Rear Camera | 32MP Front Camera4500 mAh Lithium Ion BatteryExynos Octa Core ProcessorSuper AMOLED Display | 120 Hz RateIP68 Rating1 Year Warranty Provided by the Manufacturer from Date of Purchase,4.4,&,Free delivery,33% off
886,"OnePlus 10T 5G (Moonstone Black, 256 GB)","₹45,999",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera4800 mAh Battery1 year on phone & 6 months on accessories,4.2,&,Saver Deal,44% off
887,"realme X50 Pro (Moss Green, 256 GB)","₹47,999",12 GB RAM | 256 GB ROM16.36 cm (6.44 inch) Full HD+ Display64MP + 12MP + 8MP + 2MP | 32MP + 8MP Dual Front Camera4200 mAh Battery5G PhoneQualcomm Snapdragon 865 Processor65W Superdart ChargeBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.2,&,Upto ,43% off
888,"SAMSUNG Galaxy S21 FE 5G (White, 128 GB)","₹29,999",8 GB RAM | 128 GB ROM16.26 cm (6.4 inch) Full HD+ Display12MP + 12MP + 8MP (OIS) | 32MP Front Camera4500 mAh Lithium-ion Battery1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.2,&,"₹28,000",13% off
889,"SAMSUNG Galaxy S21 FE 5G (Olive Green, 128 GB)","₹29,999",8 GB RAM | 128 GB ROM16.26 cm (6.4 inch) Full HD+ Display12MP + 12MP + 8MP (OIS) | 32MP Front Camera4500 mAh Lithium-ion Battery1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.1,&, Off on Exchange,13% off
890,"SAMSUNG Galaxy S21 FE 5G (Graphite, 128 GB)","₹29,999",8 GB RAM | 128 GB ROM16.26 cm (6.4 inch) Full HD+ Display12MP + 12MP + 8MP (OIS) | 32MP Front Camera4500 mAh Lithium-ion Battery1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.1,&,Free delivery,6% off
891,"Google Pixel 7 (Obsidian, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM16.0 cm (6.3 inch) Full HD+ Display50MP + 12MP | 10.8MP Front Camera4270 mAh BatteryGoogle Tensor G2 Processor1 Year Domestic Warranty,4.4,&,Saver Deal,13% off
892,"Google Pixel 7 (Snow, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM16.0 cm (6.3 inch) Full HD+ Display50MP + 12MP | 10.8MP Front Camera4270 mAh BatteryGoogle Tensor G2 Processor1 Year Domestic Warranty,4.2,&,Bank Offer,16% off
893,"Google Pixel 7 (Lemongrass, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM16.0 cm (6.3 inch) Full HD+ Display50MP + 12MP | 10.8MP Front Camera4270 mAh BatteryGoogle Tensor G2 Processor1 Year Domestic Warranty,4.2,&,Free delivery,45% off
894,"MOTOROLA Edge 30 Ultra (Interstellar Black, 256 GB)","₹49,899",12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display200MP + 50MP + 12MP | 60MP Front Camera4610 mAh Lithium BatteryQualcomm Snapdragon 8+ Gen 1 Processor1 Year on Handset and 6 Months on Accessories,4.2,&,Bank Offer,3% off
895,"SAMSUNG Galaxy A73 5G (Awesome Gray, 256 GB)","₹42,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Full HD+ Display108MP + 12MP + 5MP + 5MP | 32MP Front Camera5000 mAh Li-ion BatteryQualcomm Snapdragon 778G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box,4.1,&,Free delivery,25% off
896,"MOTOROLA Edge 30 Ultra (Starlight White, 256 GB)","₹49,899",12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display200MP + 50MP + 12MP | 60MP Front Camera4610 mAh Lithium BatteryQualcomm Snapdragon 8+ Gen 1 Processor1 Year on Handset and 6 Months on Accessories,4.1,&,Upto ,24% off
897,"Xiaomi 12 Pro 5G (Opera Mauve, 256 GB)","₹44,490",8 GB RAM | 256 GB ROM17.09 cm (6.73 inch) Full HD+ AMOLED Display50MP Rear Camera4600 mAh BatterySnapdragon@ 8 Gen 1 Processor12 Months,4.6,&,"₹28,000",16% off
